sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/blendedux-lang/1.1.2/blendedUx_Lang-1.1.2-py3-none-any.whl,wheel,blended/customtags/__pycache__/arguments.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/nimba/0.0.14/nimba-0.0.14.tar.gz,tar,nimba-0.0.14/examples/env/lib/python3.8/site-packages/bleach/_vendor/html5lib/filters/__pycache__/alphabeticalattributes.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bluecast/1.6.4/bluecast-1.6.4.tar.gz,tar,bluecast-1.6.4/bluecast/config/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/simo/3.5.42/simo-3.5.42-py3-none-any.whl,wheel,simo/core/drf_braces/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/ait-bsc/8.1.0/ait_bsc-8.1.0.tar.gz,tar,ait_bsc-8.1.0/ait/backend/xilinx/steps/__pycache__/implementation.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/fontTools/svgLib/path/__pycache__/arc.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/uniqgift-custom/1.0.7/uniqgift_custom-1.0.7-py3-none-any.whl,wheel,django/core/handlers/__pycache__/asgi.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/mycarehub-django/0.0.16/mycarehub_django-0.0.16-py3-none-any.whl,wheel,mycarehub/common/migrations/__pycache__/0010_auto_20211119_0628.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/nimba/0.0.14/nimba-0.0.14.tar.gz,tar,nimba-0.0.14/examples/env/lib/python3.8/site-packages/pygments/styles/__pycache__/inkpot.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/best-package/0.1.1/best-package-0.1.1.tar.gz,tar,best-package-0.1.1/best_package/d02_modelling/services/__pycache__/initialise_srv.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/multiqc-vlad/1.30.dev20250821143134/multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl,wheel,multiqc/plots/__pycache__/box.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/transstellar-antd/0.19.4/transstellar_antd-0.19.4.tar.gz,tar,transstellar_antd-0.19.4/src/transstellar_antd/v5/components/__pycache__/input.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/masonry/utils/__pycache__/include.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
