artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
isagellm_benchmark-0.5.4.14.tar.gz,isagellm-benchmark,0.5.4.14,tar,30,39,76.92,cpython-311,isagellm_benchmark-0.5.4.14,30,100.00,False,0,cli;data;ml;network,no
isagellm_control_plane_benchmark-0.2.0.9-py2.py3-none-any.whl,isagellm-control-plane-benchmark,0.2.0.9,wheel,30,37,81.08,cpython-311,sage,30,100.00,False,0,cli;network,no
isagellm_control_plane_benchmark-0.2.0.9.tar.gz,isagellm-control-plane-benchmark,0.2.0.9,tar,30,37,81.08,cpython-311,isagellm_control_plane_benchmark-0.2.0.9,30,100.00,False,0,cli;network,no
pytorch_lightning_enterprise-2.6.0-py310-none-any.whl,pytorch-lightning-enterprise,2.6.0,wheel,30,40,75.00,cpython-310,pytorch_lightning_enterprise,30,100.00,False,0,,no
turing_segment-0.3.9-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,turing-segment,0.3.9,wheel,30,30,100.00,cpython-310,gausstools,30,100.00,False,0,ml,no
verses-2.2.0.tar.gz,verses,2.2.0,tar,30,132,22.73,cpython-310;cpython-311,verses-2.2.0,30,100.00,True,2,data,no
fucker_zju-1.8.6-py3-none-any.whl,fucker-zju,1.8.6,wheel,29,29,100.00,cpython-38,fucker_zju,29,100.00,True,1,build;data;ml,no
fucker_zju-1.8.6.tar.gz,fucker-zju,1.8.6,tar,29,29,100.00,cpython-38,fucker_zju-1.8.6,29,100.00,True,1,build;data;ml,no
nocturnal-1.6.0.tar.gz,nocturnal,1.6.0,tar,29,106,27.36,cpython-310;cpython-311,nocturnal-1.6.0,29,100.00,False,0,build;security,yes
pdftextsplitter-2.1.4.tar.gz,pdftextsplitter,2.1.4,tar,28,163,17.18,cpython-310,pdftextsplitter-2.1.4,28,100.00,False,0,ml,no
tensorpack_f-0.1.8-py3-none-any.whl,tensorpack-f,0.1.8,wheel,28,28,100.00,cpython-39,tensorpack,28,100.00,False,0,cli;data,no
abstract_ai-0.2.1.187.tar.gz,abstract-ai,0.2.1.187,tar,27,81,33.33,cpython-311;cpython-313,abstract_ai-0.2.1.187,27,100.00,False,0,data;ml;network,no
dovado_rtl-0.10.12.tar.gz,dovado-rtl,0.10.12,tar,27,131,20.61,cpython-38;cpython-39,dovado_rtl-0.10.12,27,100.00,True,6,testing,no
ollama_x_client-0.1.0.tar.gz,ollama-x-client,0.1.0,tar,27,85,31.76,cpython-312,ollama_x_client-0.1.0,27,100.00,False,0,ml;network,no
tdf_tool-2.5.71.tar.gz,tdf-tool,2.5.71,tar,27,234,11.54,cpython-311;cpython-312;cpython-39,tdf_tool-2.5.71,27,100.00,True,2,cli;data;network,no
libuseful-0.4.7-py3-none-any.whl,libuseful,0.4.7,wheel,26,26,100.00,cpython-38,libuseful,26,100.00,False,0,,no
mathfortrand-1.2.7-py3-none-any.whl,mathfortrand,1.2.7,wheel,26,26,100.00,cpython-311,mathfortrand;mathfortrand2,26,100.00,False,0,,no
mathfortrand-1.2.7.tar.gz,mathfortrand,1.2.7,tar,26,26,100.00,cpython-311,mathfortrand-1.2.7,26,100.00,False,0,,no
apoplast-3.0.7.tar.gz,apoplast,3.0.7,tar,25,372,6.72,cpython-310;cpython-311,apoplast-3.0.7,25,100.00,True,1,data;network,no
dntdb-1.0.4-py3-none-any.whl,dntdb,1.0.4,wheel,25,26,96.15,cpython-38;cpython-39,dntdb-1.0.4.data;dntdb,25,100.00,False,0,data,no
rrshare-4.2.8.tar.gz,rrshare,4.2.8,tar,25,89,28.09,cpython-38;cpython-39,rrshare-4.2.8,25,100.00,False,0,data,no
stark_trees-3.1.0-py3-none-any.whl,stark-trees,3.1.0,wheel,25,51,49.02,cpython-38,stark,25,100.00,False,0,data,no
stark_trees-3.1.0.tar.gz,stark-trees,3.1.0,tar,25,51,49.02,cpython-38,stark_trees-3.1.0,25,100.00,False,0,data,no
