input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/benchbox/0.3.0/benchbox-0.3.0-py3-none-any.whl,wheel,1149,922,0,0,0,False,True,32,,,
data/artifacts/pypi/bp-libc-got/0.0.1/bp_libc_got-0.0.1-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/bravo-python-sdk/1.1.0/bravo_python_sdk-1.1.0-py3-none-any.whl,wheel,28,23,0,0,0,False,False,0,,,
data/artifacts/pypi/bsb-inquiry/1.0.0/bsb_inquiry-1.0.0-py3-none-any.whl,wheel,10,4,0,0,0,False,False,0,,,
data/artifacts/pypi/bravo-python-sdk/1.1.0/bravo_python_sdk-1.1.0.tar.gz,tar,47,26,0,0,0,False,True,1,,,
data/artifacts/pypi/bsb-inquiry/1.0.0/bsb_inquiry-1.0.0.tar.gz,tar,18,5,0,0,0,False,False,0,,,
data/artifacts/pypi/butinfom/0.1.3/butinfom-0.1.3-py3-none-any.whl,wheel,13,8,0,0,0,False,False,0,,,
data/artifacts/pypi/butinfom/0.1.3/butinfom-0.1.3.tar.gz,tar,22,8,0,0,0,False,False,0,,,
data/artifacts/pypi/bysondb/0.1.1/bysondb-0.1.1-py3-none-any.whl,wheel,10,5,0,0,0,False,False,0,,,
data/artifacts/pypi/bysondb/0.1.1/bysondb-0.1.1.tar.gz,tar,10,6,0,0,0,False,False,0,,,
data/artifacts/pypi/cachedir/0.1.3/cachedir-0.1.3-py3-none-any.whl,wheel,16,11,0,0,0,False,True,2,,,
data/artifacts/pypi/blq-cli/1.0.0/blq_cli-1.0.0.tar.gz,tar,194,111,0,0,0,False,True,11,,,
data/artifacts/pypi/cada-prio/0.7.0/cada-prio-0.7.0.tar.gz,tar,44,11,0,0,0,False,True,1,,,
data/artifacts/pypi/cachedir/0.1.3/cachedir-0.1.3.tar.gz,tar,56,26,0,0,0,False,True,2,,,
data/artifacts/pypi/cai-pypi/2.0.1/CAI-PyPI-2.0.1.tar.gz,tar,24,9,0,0,0,False,False,0,,,
data/artifacts/pypi/calculate-vif-rsquare/1.0.2/calculate_vif_rsquare-1.0.2-py3-none-any.whl,wheel,6,1,0,0,0,False,False,0,,,
data/artifacts/pypi/cai-pypi/2.0.1/CAI_PyPI-2.0.1-py3-none-any.whl,wheel,10,4,0,0,0,False,False,0,,,
data/artifacts/pypi/calculator-kelseye/1.0.3/calculator_kelseye-1.0.3-py3-none-any.whl,wheel,4,0,0,0,0,False,False,0,,,
data/artifacts/pypi/calculator-mfelic/1.0.4/calculator_mfelic-1.0.4-py3-none-any.whl,wheel,6,2,0,0,0,False,False,0,,,
data/artifacts/pypi/calculate-vif-rsquare/1.0.2/calculate_vif_rsquare-1.0.2.tar.gz,tar,14,2,0,0,0,False,False,0,,,
data/artifacts/pypi/calculator-mfelic/1.0.4/calculator_mfelic-1.0.4.tar.gz,tar,9,4,0,0,0,False,False,0,,,
data/artifacts/pypi/capture-errors/0.0.3/capture_errors-0.0.3-py3-none-any.whl,wheel,11,5,0,0,0,False,False,0,,,
data/artifacts/pypi/capture-errors/0.0.3/capture-errors-0.0.3.tar.gz,tar,21,6,0,0,0,False,False,0,,,
data/artifacts/pypi/cda-download/0.0.9/cda_download-0.0.9-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/cda-download/0.0.9/cda_download-0.0.9.tar.gz,tar,19,5,0,0,0,False,False,0,,,
data/artifacts/pypi/cdk-cloudformation-tf-google-storagebucket/1.0.0a7/cdk_cloudformation_tf_google_storagebucket-1.0.0a7-py3-none-any.whl,wheel,9,2,0,0,0,False,False,0,,,
data/artifacts/pypi/cdk-cloudformation-tf-google-storagebucket/1.0.0a7/cdk-cloudformation-tf-google-storagebucket-1.0.0a7.tar.gz,tar,21,3,0,0,0,False,False,0,,,
data/artifacts/pypi/cdk-serverless-clamscan/2.13.47/cdk_serverless_clamscan-2.13.47-py3-none-any.whl,wheel,10,2,0,0,0,False,True,2,,,
data/artifacts/pypi/cdotenv/0.1.6/cdotenv-0.1.6-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/cdotenv/0.1.6/cdotenv-0.1.6.tar.gz,tar,14,2,0,0,0,False,False,0,,,
data/artifacts/pypi/cdsupdate/2.3.1/CDSupdate-2.3.1-py3-none-any.whl,wheel,31,11,0,0,0,False,False,0,,,
data/artifacts/pypi/cdk-serverless-clamscan/2.13.47/cdk_serverless_clamscan-2.13.47.tar.gz,tar,22,3,0,0,0,False,True,2,,,
data/artifacts/pypi/cellularization-dynamics/0.2.4/cellularization_dynamics-0.2.4-py3-none-any.whl,wheel,47,42,0,0,0,False,True,2,,,
data/artifacts/pypi/cdsupdate/2.3.1/cdsupdate-2.3.1.tar.gz,tar,43,12,0,0,0,False,True,1,,,
data/artifacts/pypi/certbot-dns-gandi-modern/1.6.2/certbot_dns_gandi_modern-1.6.2-py3-none-any.whl,wheel,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/certbot-dns-gandi-modern/1.6.2/certbot_dns_gandi_modern-1.6.2.tar.gz,tar,8,3,0,0,0,False,False,0,,,
data/artifacts/pypi/certificate-pruner/0.1.2/certificate_pruner-0.1.2-py3-none-any.whl,wheel,6,1,0,0,0,False,False,0,,,
data/artifacts/pypi/certificate-pruner/0.1.2/certificate_pruner-0.1.2.tar.gz,tar,13,2,0,0,0,False,False,0,,,
data/artifacts/pypi/cellularization-dynamics/0.2.4/cellularization_dynamics-0.2.4.tar.gz,tar,59,42,0,0,0,False,True,2,,,
data/artifacts/pypi/certora-cli-alpha-roy-cert-1844-usage/20230515.11.52.774068/certora_cli_alpha_roy_CERT_1844_usage-20230515.11.52.774068-py3-none-any.whl,wheel,39,27,0,0,0,False,False,0,,,
data/artifacts/pypi/cgsmiles/1.0.2/cgsmiles-1.0.2-py2.py3-none-any.whl,wheel,33,26,0,0,0,False,False,0,,,
data/artifacts/pypi/cgsmiles/1.0.2/cgsmiles-1.0.2.tar.gz,tar,95,28,0,0,0,False,True,1,,,
data/artifacts/pypi/cheest/0.0.1/cheest-0.0.1-py3-none-any.whl,wheel,4,0,0,0,0,False,False,0,,,
data/artifacts/pypi/cheest/0.0.1/cheest-0.0.1.tar.gz,tar,9,0,0,0,0,False,False,0,,,
data/artifacts/pypi/chemographykit/0.2.1/chemographykit-0.2.1-py3-none-any.whl,wheel,14,9,0,0,0,False,False,0,,,
data/artifacts/pypi/chemographykit/0.2.1/chemographykit-0.2.1.tar.gz,tar,19,15,0,0,0,False,False,0,,,
data/artifacts/pypi/chill-streams/0.4.4/Chill_Streams-0.4.4-py3-none-any.whl,wheel,27,17,0,0,0,False,True,1,,,
data/artifacts/pypi/chill-streams/0.4.4/chill_streams-0.4.4.tar.gz,tar,36,18,0,0,0,False,True,2,,,
data/artifacts/pypi/chitin-engine-lib/0.3.1/chitin_engine_lib-0.3.1-cp311-cp311-macosx_13_0_x86_64.whl,wheel,13,6,0,0,0,False,False,0,,,
data/artifacts/pypi/chitin-engine-lib/0.3.1/chitin_engine_lib-0.3.1.tar.gz,tar,23,9,0,0,0,False,False,0,,,
data/artifacts/pypi/chuk-mcp-client-oauth/0.4/chuk_mcp_client_oauth-0.4-py3-none-any.whl,wheel,23,18,0,0,0,False,False,0,,,
data/artifacts/pypi/chuk-mcp-client-oauth/0.4/chuk_mcp_client_oauth-0.4.tar.gz,tar,53,41,0,0,0,False,False,0,,,
data/artifacts/pypi/cicy-utils/0.2.2/cicy_utils-0.2.2-py3-none-any.whl,wheel,8,2,0,0,0,False,True,1,,,
data/artifacts/pypi/cicy-utils/0.2.2/cicy_utils-0.2.2.tar.gz,tar,18,3,0,0,0,False,True,1,,,
data/artifacts/pypi/ciffy/1.0.3/ciffy-1.0.3-cp310-cp310-macosx_11_0_arm64.whl,wheel,138,72,0,0,0,False,True,1,,,
data/artifacts/pypi/autoa2a/0.0.3/autoa2a-0.0.3.tar.gz,tar,339,160,0,0,0,False,True,1,,,
